




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (3272)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (expected)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (over/under)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (fold Enrichment)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (raw P-value)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (FDR)
cell cycle process (GO:0022402)	957	65	152.04	-	.43	3.11E-14	5.59E-12
cellular carbohydrate metabolic process (GO:0044262)	177	12	28.12	-	.43	1.93E-03	3.16E-02
protein polyubiquitination (GO:0000209)	325	22	51.63	-	.43	1.85E-05	5.63E-04
protein modification by small protein conjugation or removal (GO:0070647)	1035	70	164.43	-	.43	1.89E-15	3.83E-13
viral process (GO:0016032)	444	30	70.54	-	.43	3.42E-07	1.61E-05
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	178	12	28.28	-	.42	1.95E-03	3.18E-02
antigen processing and presentation of peptide antigen (GO:0048002)	193	13	30.66	-	.42	1.05E-03	1.92E-02
nucleobase-containing compound metabolic process (GO:0006139)	2705	182	429.75	-	.42	5.84E-41	8.39E-38
heterocycle catabolic process (GO:0046700)	417	28	66.25	-	.42	6.53E-07	2.80E-05
posttranscriptional regulation of gene expression (GO:0010608)	581	39	92.31	-	.42	3.52E-09	2.51E-07
detection of chemical stimulus (GO:0009593)	522	35	82.93	-	.42	2.24E-08	1.36E-06
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	16	38.13	-	.42	2.28E-04	5.15E-03
macromolecule methylation (GO:0043414)	257	17	40.83	-	.42	9.23E-05	2.34E-03
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	197	13	31.30	-	.42	7.98E-04	1.54E-02
positive regulation of chromosome organization (GO:2001252)	182	12	28.91	-	.42	1.10E-03	2.00E-02
protein targeting to membrane (GO:0006612)	182	12	28.91	-	.42	1.10E-03	2.00E-02
response to endoplasmic reticulum stress (GO:0034976)	260	17	41.31	-	.41	6.98E-05	1.82E-03
gene silencing (GO:0016458)	153	10	24.31	-	.41	2.83E-03	4.29E-02
macroautophagy (GO:0016236)	199	13	31.62	-	.41	5.97E-04	1.19E-02
regulation of translation (GO:0006417)	415	27	65.93	-	.41	3.97E-07	1.83E-05
regulation of signal transduction by p53 class mediator (GO:1901796)	201	13	31.93	-	.41	6.13E-04	1.22E-02
negative regulation of cell cycle phase transition (GO:1901988)	294	19	46.71	-	.41	2.10E-05	6.29E-04
cellular protein-containing complex assembly (GO:0034622)	867	56	137.74	-	.41	4.93E-14	8.48E-12
protein folding (GO:0006457)	233	15	37.02	-	.41	1.80E-04	4.23E-03
regulation of proteasomal protein catabolic process (GO:0061136)	187	12	29.71	-	.40	8.36E-04	1.59E-02
mitotic cell cycle (GO:0000278)	750	48	119.16	-	.40	2.12E-12	2.79E-10
cellular protein catabolic process (GO:0044257)	644	41	102.31	-	.40	6.37E-11	6.41E-09
regulation of gene expression, epigenetic (GO:0040029)	173	11	27.49	-	.40	1.15E-03	2.09E-02
regulation of mRNA catabolic process (GO:0061013)	252	16	40.04	-	.40	7.34E-05	1.90E-03
chromatin organization (GO:0006325)	703	44	111.69	-	.39	4.34E-12	5.44E-10
regulation of mRNA stability (GO:0043488)	241	15	38.29	-	.39	7.52E-05	1.94E-03
mitotic cell cycle process (GO:1903047)	675	42	107.24	-	.39	1.11E-11	1.26E-09
amide biosynthetic process (GO:0043604)	537	33	85.32	-	.39	1.08E-09	8.44E-08
mitotic cell cycle phase transition (GO:0044772)	262	16	41.62	-	.38	3.13E-05	8.91E-04
cellular macromolecule catabolic process (GO:0044265)	925	56	146.96	-	.38	2.63E-16	6.51E-14
antigen receptor-mediated signaling pathway (GO:0050851)	299	18	47.50	-	.38	5.13E-06	1.78E-04
chromosome organization (GO:0051276)	1064	64	169.04	-	.38	7.35E-19	2.47E-16
RNA metabolic process (GO:0016070)	1582	95	251.34	-	.38	7.19E-28	4.37E-25
sensory perception of smell (GO:0007608)	468	28	74.35	-	.38	6.92E-09	4.63E-07
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	184	11	29.23	-	.38	4.91E-04	1.01E-02
organelle fission (GO:0048285)	369	22	58.62	-	.38	3.51E-07	1.65E-05
mitochondrial transport (GO:0006839)	235	14	37.34	-	.37	5.80E-05	1.53E-03
regulation of RNA stability (GO:0043487)	253	15	40.19	-	.37	2.34E-05	6.88E-04
cell cycle phase transition (GO:0044770)	270	16	42.90	-	.37	1.28E-05	4.00E-04
cellular response to topologically incorrect protein (GO:0035967)	152	9	24.15	-	.37	1.70E-03	2.86E-02
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	36	96.75	-	.37	2.29E-11	2.55E-09
peptidyl-lysine modification (GO:0018205)	305	18	48.46	-	.37	2.85E-06	1.05E-04
nuclear division (GO:0000280)	339	20	53.86	-	.37	8.63E-07	3.59E-05
nucleobase-containing compound catabolic process (GO:0034655)	373	22	59.26	-	.37	1.91E-07	9.79E-06
positive regulation of mRNA metabolic process (GO:1903313)	136	8	21.61	-	.37	2.28E-03	3.59E-02
regulation of mRNA metabolic process (GO:1903311)	376	22	59.74	-	.37	1.43E-07	7.51E-06
proteasomal protein catabolic process (GO:0010498)	361	21	57.35	-	.37	2.60E-07	1.27E-05
cellular response to DNA damage stimulus (GO:0006974)	793	46	125.99	-	.37	6.30E-15	1.20E-12
nucleic acid metabolic process (GO:0090304)	2217	127	352.22	-	.36	5.90E-42	1.04E-38
protein import (GO:0017038)	158	9	25.10	-	.36	9.30E-04	1.74E-02
mitotic DNA integrity checkpoint signaling (GO:0044774)	123	7	19.54	-	.36	3.13E-03	4.61E-02
G2/M transition of mitotic cell cycle (GO:0000086)	141	8	22.40	-	.36	1.70E-03	2.86E-02
mitotic cell cycle checkpoint signaling (GO:0007093)	159	9	25.26	-	.36	6.69E-04	1.32E-02
cell cycle G2/M phase transition (GO:0044839)	143	8	22.72	-	.35	1.24E-03	2.22E-02
T cell receptor signaling pathway (GO:0050852)	180	10	28.60	-	.35	2.72E-04	5.98E-03
regulation of chromosome organization (GO:0033044)	290	16	46.07	-	.35	2.16E-06	8.25E-05
peptide metabolic process (GO:0006518)	544	30	86.43	-	.35	3.13E-11	3.41E-09
DNA conformation change (GO:0071103)	312	17	49.57	-	.34	6.40E-07	2.76E-05
negative regulation of translation (GO:0017148)	184	10	29.23	-	.34	2.05E-04	4.75E-03
establishment of protein localization to organelle (GO:0072594)	394	21	62.60	-	.34	1.30E-08	8.15E-07
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	18	53.70	-	.34	1.41E-07	7.46E-06
protein targeting (GO:0006605)	322	17	51.16	-	.33	2.57E-07	1.26E-05
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	212	11	33.68	-	.33	3.19E-05	9.03E-04
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	25	77.21	-	.32	7.15E-11	7.02E-09
ubiquitin-dependent protein catabolic process (GO:0006511)	545	28	86.59	-	.32	4.75E-12	5.82E-10
DNA biosynthetic process (GO:0071897)	117	6	18.59	-	.32	2.29E-03	3.58E-02
mitochondrion organization (GO:0007005)	468	24	74.35	-	.32	1.83E-10	1.59E-08
import into nucleus (GO:0051170)	117	6	18.59	-	.32	2.29E-03	3.58E-02
complement activation (GO:0006956)	177	9	28.12	-	.32	1.48E-04	3.56E-03
energy derivation by oxidation of organic compounds (GO:0015980)	256	13	40.67	-	.32	2.73E-06	1.01E-04
modification-dependent protein catabolic process (GO:0019941)	552	28	87.70	-	.32	1.81E-12	2.40E-10
regulation of mRNA processing (GO:0050684)	140	7	22.24	-	.31	6.58E-04	1.30E-02
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	301	15	47.82	-	.31	2.37E-07	1.17E-05
modification-dependent macromolecule catabolic process (GO:0043632)	563	28	89.45	-	.31	7.00E-13	1.01E-10
regulation of cell cycle G2/M phase transition (GO:1902749)	222	11	35.27	-	.31	1.27E-05	3.97E-04
DNA damage checkpoint signaling (GO:0000077)	142	7	22.56	-	.31	4.75E-04	9.81E-03
spindle organization (GO:0007051)	224	11	35.59	-	.31	8.97E-06	2.92E-04
mitotic spindle organization (GO:0007052)	163	8	25.90	-	.31	1.92E-04	4.48E-03
nucleobase-containing compound transport (GO:0015931)	245	12	38.92	-	.31	2.60E-06	9.68E-05
chromosome segregation (GO:0007059)	286	14	45.44	-	.31	4.37E-07	1.99E-05
vesicle budding from membrane (GO:0006900)	103	5	16.36	-	.31	3.07E-03	4.53E-02
telomere organization (GO:0032200)	103	5	16.36	-	.31	3.07E-03	4.52E-02
nuclear chromosome segregation (GO:0098813)	227	11	36.06	-	.31	6.51E-06	2.20E-04
mitochondrial membrane organization (GO:0007006)	146	7	23.20	-	.30	3.45E-04	7.39E-03
cell cycle checkpoint signaling (GO:0000075)	188	9	29.87	-	.30	4.00E-05	1.11E-03
DNA metabolic process (GO:0006259)	777	37	123.44	-	.30	2.70E-18	8.37E-16
regulation of DNA recombination (GO:0000018)	127	6	20.18	-	.30	8.76E-04	1.65E-02
chromatin assembly or disassembly (GO:0006333)	170	8	27.01	-	.30	1.03E-04	2.57E-03
DNA integrity checkpoint signaling (GO:0031570)	150	7	23.83	-	.29	2.54E-04	5.64E-03
chromatin assembly (GO:0031497)	150	7	23.83	-	.29	2.54E-04	5.64E-03
chromatin remodeling (GO:0006338)	173	8	27.49	-	.29	7.43E-05	1.92E-03
nucleocytoplasmic transport (GO:0006913)	261	12	41.47	-	.29	5.18E-07	2.28E-05
nuclear transport (GO:0051169)	264	12	41.94	-	.29	3.74E-07	1.74E-05
nucleosome organization (GO:0034728)	156	7	24.78	-	.28	1.31E-04	3.18E-03
immunoglobulin mediated immune response (GO:0016064)	201	9	31.93	-	.28	1.10E-05	3.50E-04
B cell mediated immunity (GO:0019724)	205	9	32.57	-	.28	8.15E-06	2.69E-04
negative regulation of DNA metabolic process (GO:0051053)	140	6	22.24	-	.27	2.37E-04	5.33E-03
nucleosome assembly (GO:0006334)	117	5	18.59	-	.27	8.22E-04	1.58E-02
RNA destabilization (GO:0050779)	94	4	14.93	-	.27	2.90E-03	4.36E-02
RNA catabolic process (GO:0006401)	248	10	39.40	-	.25	2.22E-07	1.11E-05
DNA recombination (GO:0006310)	225	9	35.75	-	.25	7.49E-07	3.14E-05
microtubule organizing center organization (GO:0031023)	100	4	15.89	-	.25	1.46E-03	2.55E-02
protein-containing complex disassembly (GO:0032984)	228	9	36.22	-	.25	5.33E-07	2.33E-05
protein acylation (GO:0043543)	178	7	28.28	-	.25	1.27E-05	3.97E-04
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	17	70.06	-	.24	6.79E-13	1.00E-10
RNA transport (GO:0050658)	189	7	30.03	-	.23	3.11E-06	1.14E-04
nucleic acid transport (GO:0050657)	189	7	30.03	-	.23	3.11E-06	1.13E-04
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	109	4	17.32	-	.23	5.15E-04	1.05E-02
establishment of RNA localization (GO:0051236)	191	7	30.34	-	.23	2.19E-06	8.35E-05
RNA phosphodiester bond hydrolysis (GO:0090501)	164	6	26.06	-	.23	1.52E-05	4.69E-04
negative regulation of cell cycle G2/M phase transition (GO:1902750)	111	4	17.63	-	.23	5.40E-04	1.09E-02
protein deubiquitination (GO:0016579)	278	10	44.17	-	.23	7.02E-09	4.66E-07
DNA repair (GO:0006281)	531	19	84.36	-	.23	4.67E-16	1.07E-13
mitotic nuclear division (GO:0140014)	201	7	31.93	-	.22	7.68E-07	3.21E-05
internal peptidyl-lysine acetylation (GO:0018393)	116	4	18.43	-	.22	2.58E-04	5.71E-03
centrosome cycle (GO:0007098)	88	3	13.98	-	.21	1.87E-03	3.10E-02
internal protein amino acid acetylation (GO:0006475)	118	4	18.75	-	.21	1.78E-04	4.21E-03
protein modification by small protein removal (GO:0070646)	295	10	46.87	-	.21	8.44E-10	6.71E-08
peptide biosynthetic process (GO:0043043)	414	14	65.77	-	.21	2.81E-13	4.48E-11
protein-DNA complex subunit organization (GO:0071824)	296	10	47.03	-	.21	8.47E-10	6.70E-08
peptidyl-lysine acetylation (GO:0018394)	119	4	18.91	-	.21	1.80E-04	4.23E-03
mitotic sister chromatid segregation (GO:0000070)	121	4	19.22	-	.21	1.25E-04	3.05E-03
RNA localization (GO:0006403)	212	7	33.68	-	.21	2.81E-07	1.36E-05
mRNA metabolic process (GO:0016071)	697	23	110.73	-	.21	4.44E-22	1.89E-19
ERAD pathway (GO:0036503)	92	3	14.62	-	.21	8.88E-04	1.67E-02
RNA processing (GO:0006396)	930	30	147.75	-	.20	7.93E-30	6.27E-27
vesicle targeting (GO:0006903)	94	3	14.93	-	.20	9.12E-04	1.71E-02
RNA splicing (GO:0008380)	409	13	64.98	-	.20	1.08E-13	1.78E-11
protein-DNA complex assembly (GO:0065004)	256	8	40.67	-	.20	4.56E-09	3.16E-07
mRNA transport (GO:0051028)	160	5	25.42	-	.20	6.23E-06	2.12E-04
complement activation, classical pathway (GO:0006958)	161	5	25.58	-	.20	4.26E-06	1.49E-04
mRNA processing (GO:0006397)	486	15	77.21	-	.19	2.76E-16	6.71E-14
ncRNA metabolic process (GO:0034660)	521	16	82.77	-	.19	1.97E-17	5.76E-15
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	5	26.21	-	.19	2.96E-06	1.08E-04
DNA replication (GO:0006260)	273	8	43.37	-	.18	7.66E-10	6.11E-08
RNA modification (GO:0009451)	172	5	27.33	-	.18	1.46E-06	5.74E-05
protein acetylation (GO:0006473)	138	4	21.92	-	.18	2.13E-05	6.38E-04
Fc-epsilon receptor signaling pathway (GO:0038095)	173	5	27.49	-	.18	1.52E-06	5.96E-05
DNA duplex unwinding (GO:0032508)	105	3	16.68	-	.18	2.07E-04	4.77E-03
COPII-coated vesicle budding (GO:0090114)	70	2	11.12	-	.18	3.14E-03	4.61E-02
vesicle targeting, to, from or within Golgi (GO:0048199)	70	2	11.12	-	.18	3.14E-03	4.61E-02
protein localization to endoplasmic reticulum (GO:0070972)	143	4	22.72	-	.18	9.90E-06	3.19E-04
mRNA catabolic process (GO:0006402)	215	6	34.16	-	.18	3.40E-08	2.00E-06
regulation of DNA replication (GO:0006275)	108	3	17.16	-	.17	1.43E-04	3.46E-03
ribosomal large subunit biogenesis (GO:0042273)	72	2	11.44	-	.17	3.29E-03	4.80E-02
DNA geometric change (GO:0032392)	110	3	17.48	-	.17	9.86E-05	2.48E-03
histone acetylation (GO:0016573)	110	3	17.48	-	.17	9.86E-05	2.48E-03
sister chromatid segregation (GO:0000819)	149	4	23.67	-	.17	4.74E-06	1.65E-04
cellular respiration (GO:0045333)	187	5	29.71	-	.17	2.33E-07	1.16E-05
establishment of chromosome localization (GO:0051303)	75	2	11.92	-	.17	2.27E-03	3.57E-02
ubiquitin-dependent ERAD pathway (GO:0030433)	76	2	12.07	-	.17	1.48E-03	2.58E-02
tRNA metabolic process (GO:0006399)	190	5	30.19	-	.17	1.61E-07	8.39E-06
chromosome localization (GO:0050000)	77	2	12.23	-	.16	1.50E-03	2.60E-02
rRNA metabolic process (GO:0016072)	272	7	43.21	-	.16	1.92E-10	1.66E-08
DNA-dependent DNA replication (GO:0006261)	195	5	30.98	-	.16	7.49E-08	4.17E-06
regulation of translational initiation (GO:0006446)	81	2	12.87	-	.16	1.07E-03	1.96E-02
nuclear export (GO:0051168)	166	4	26.37	-	.15	4.99E-07	2.23E-05
cellular protein complex disassembly (GO:0043624)	138	3	21.92	-	.14	3.34E-06	1.20E-04
ncRNA transcription (GO:0098781)	94	2	14.93	-	.13	1.52E-04	3.64E-03
ribonucleoprotein complex assembly (GO:0022618)	189	4	30.03	-	.13	3.73E-08	2.16E-06
ciliary basal body-plasma membrane docking (GO:0097711)	95	2	15.09	-	.13	1.54E-04	3.68E-03
translation (GO:0006412)	387	8	61.48	-	.13	4.91E-16	1.08E-13
ribonucleoprotein complex subunit organization (GO:0071826)	196	4	31.14	-	.13	1.12E-08	7.03E-07
double-strand break repair via homologous recombination (GO:0000724)	101	2	16.05	-	.12	7.14E-05	1.86E-03
mRNA splicing, via spliceosome (GO:0000398)	303	6	48.14	-	.12	6.39E-13	9.62E-11
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	6	48.14	-	.12	6.39E-13	9.53E-11
RNA splicing, via transesterification reactions (GO:0000375)	306	6	48.62	-	.12	4.35E-13	6.75E-11
double-strand break repair (GO:0006302)	204	4	32.41	-	.12	5.55E-09	3.78E-07
recombinational repair (GO:0000725)	103	2	16.36	-	.12	4.77E-05	1.30E-03
nucleotide-excision repair (GO:0006289)	104	2	16.52	-	.12	4.85E-05	1.33E-03
ncRNA processing (GO:0034470)	436	8	69.27	-	.12	6.30E-19	2.16E-16
interstrand cross-link repair (GO:0036297)	56	1	8.90	-	.11	3.46E-03	4.97E-02
respiratory electron transport chain (GO:0022904)	112	2	17.79	-	.11	1.49E-05	4.59E-04
ribonucleoprotein complex biogenesis (GO:0022613)	462	8	73.40	-	.11	1.82E-20	7.38E-18
establishment of protein localization to endoplasmic reticulum (GO:0072599)	116	2	18.43	-	.11	1.03E-05	3.29E-04
oxidative phosphorylation (GO:0006119)	120	2	19.06	-	.10	7.35E-06	2.46E-04
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	60	1	9.53	-	.10	2.34E-03	3.65E-02
positive regulation of gene expression, epigenetic (GO:0045815)	60	1	9.53	-	.10	2.34E-03	3.64E-02
protein monoubiquitination (GO:0006513)	61	1	9.69	-	.10	2.41E-03	3.74E-02
ribosome assembly (GO:0042255)	62	1	9.85	-	.10	1.56E-03	2.67E-02
translational elongation (GO:0006414)	127	2	20.18	-	.10	2.10E-06	8.04E-05
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	3	30.98	-	.10	2.13E-09	1.60E-07
negative regulation of DNA recombination (GO:0045910)	65	1	10.33	-	.10	1.05E-03	1.92E-02
rRNA processing (GO:0006364)	262	4	41.62	-	.10	2.14E-12	2.80E-10
ribosome biogenesis (GO:0042254)	329	5	52.27	-	.10	2.14E-15	4.23E-13
pre-replicative complex assembly (GO:0036388)	66	1	10.49	-	.10	1.06E-03	1.93E-02
tRNA processing (GO:0008033)	134	2	21.29	-	.09	9.86E-07	4.01E-05
immunoglobulin production (GO:0002377)	138	2	21.92	-	.09	4.30E-07	1.96E-05
snRNA transcription by RNA polymerase II (GO:0042795)	70	1	11.12	-	.09	7.34E-04	1.43E-02
production of molecular mediator of immune response (GO:0002440)	141	2	22.40	-	.09	2.89E-07	1.39E-05
snRNA transcription (GO:0009301)	71	1	11.28	-	.09	4.71E-04	9.75E-03
RNA 3'-end processing (GO:0031123)	142	2	22.56	-	.09	2.92E-07	1.40E-05
translational initiation (GO:0006413)	143	2	22.72	-	.09	3.03E-07	1.45E-05
ribosomal small subunit biogenesis (GO:0042274)	73	1	11.60	-	.09	4.94E-04	1.01E-02
transcription elongation from RNA polymerase II promoter (GO:0006368)	75	1	11.92	-	.08	3.19E-04	6.89E-03
endosome organization (GO:0007032)	78	1	12.39	-	.08	2.14E-04	4.90E-03
negative regulation of chromosome organization (GO:2001251)	79	1	12.55	-	.08	2.23E-04	5.06E-03
DNA-templated transcription, elongation (GO:0006354)	79	1	12.55	-	.08	2.23E-04	5.06E-03
aerobic respiration (GO:0009060)	160	2	25.42	-	.08	2.70E-08	1.61E-06
protein localization to mitochondrion (GO:0070585)	85	1	13.50	-	.07	1.01E-04	2.51E-03
RNA methylation (GO:0001510)	88	1	13.98	-	.07	6.74E-05	1.77E-03
aerobic electron transport chain (GO:0019646)	88	1	13.98	-	.07	6.74E-05	1.77E-03
tRNA modification (GO:0006400)	93	1	14.78	-	.07	2.88E-05	8.24E-04
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	93	1	14.78	-	.07	2.88E-05	8.22E-04
ATP synthesis coupled electron transport (GO:0042773)	93	1	14.78	-	.07	2.88E-05	8.21E-04
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	1	15.25	-	.07	1.92E-05	5.79E-04
cotranslational protein targeting to membrane (GO:0006613)	101	1	16.05	-	.06	8.34E-06	2.74E-04
mitochondrial respiratory chain complex assembly (GO:0033108)	101	1	16.05	-	.06	8.34E-06	2.74E-04
mRNA export from nucleus (GO:0006406)	110	1	17.48	-	.06	2.47E-06	9.32E-05
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	110	1	17.48	-	.06	2.47E-06	9.30E-05
protein targeting to ER (GO:0045047)	112	1	17.79	-	.06	1.63E-06	6.35E-05
viral transcription (GO:0019083)	116	1	18.43	-	.05	1.10E-06	4.41E-05
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	1	19.06	-	.05	7.68E-07	3.20E-05
cytoplasmic translation (GO:0002181)	122	1	19.38	-	.05	4.87E-07	2.18E-05
RNA export from nucleus (GO:0006405)	124	1	19.70	-	.05	3.18E-07	1.50E-05
ribonucleoprotein complex export from nucleus (GO:0071426)	126	1	20.02	-	.05	3.43E-07	1.62E-05
ribonucleoprotein complex localization (GO:0071166)	127	1	20.18	-	.05	2.11E-07	1.06E-05
viral gene expression (GO:0019080)	172	1	27.33	-	.04	4.61E-10	3.89E-08
NADH dehydrogenase complex assembly (GO:0010257)	66	0	10.49	-	 < 0.01	9.81E-05	2.48E-03
intracellular protein transmembrane transport (GO:0065002)	51	0	8.10	-	 < 0.01	8.28E-04	1.59E-02
mitochondrial respiratory chain complex I assembly (GO:0032981)	66	0	10.49	-	 < 0.01	9.81E-05	2.47E-03
protein targeting to mitochondrion (GO:0006626)	57	0	9.06	-	 < 0.01	3.52E-04	7.51E-03
mitotic metaphase plate congression (GO:0007080)	48	0	7.63	-	 < 0.01	1.27E-03	2.26E-02
'de novo' protein folding (GO:0006458)	43	0	6.83	-	 < 0.01	3.02E-03	4.48E-02
translational termination (GO:0006415)	97	0	15.41	-	 < 0.01	9.02E-07	3.73E-05
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	42	0	6.67	-	 < 0.01	3.01E-03	4.48E-02
DNA-templated transcription, termination (GO:0006353)	79	0	12.55	-	 < 0.01	1.91E-05	5.78E-04
double-strand break repair via nonhomologous end joining (GO:0006303)	63	0	10.01	-	 < 0.01	1.50E-04	3.61E-03
postreplication repair (GO:0006301)	52	0	8.26	-	 < 0.01	8.41E-04	1.60E-02
mitochondrial translation (GO:0032543)	112	0	17.79	-	 < 0.01	1.08E-07	5.83E-06
transcription-coupled nucleotide-excision repair (GO:0006283)	73	0	11.60	-	 < 0.01	4.41E-05	1.22E-03
DNA replication initiation (GO:0006270)	43	0	6.83	-	 < 0.01	3.02E-03	4.48E-02
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	49	0	7.78	-	 < 0.01	1.29E-03	2.29E-02
mitochondrial gene expression (GO:0140053)	142	0	22.56	-	 < 0.01	1.65E-09	1.25E-07
regulation of ubiquitin-protein transferase activity (GO:0051438)	57	0	9.06	-	 < 0.01	3.52E-04	7.50E-03
regulation of telomere maintenance via telomerase (GO:0032210)	54	0	8.58	-	 < 0.01	5.40E-04	1.09E-02
positive regulation of telomere maintenance (GO:0032206)	51	0	8.10	-	 < 0.01	8.28E-04	1.58E-02
regulation of telomere maintenance (GO:0032204)	81	0	12.87	-	 < 0.01	1.19E-05	3.74E-04
metaphase plate congression (GO:0051310)	59	0	9.37	-	 < 0.01	3.83E-04	8.08E-03
mitochondrial translational termination (GO:0070126)	89	0	14.14	-	 < 0.01	3.25E-06	1.18E-04
mitochondrial translational elongation (GO:0070125)	88	0	13.98	-	 < 0.01	3.25E-06	1.17E-04
mRNA 3'-end processing (GO:0031124)	88	0	13.98	-	 < 0.01	3.25E-06	1.17E-04
nucleoside monophosphate biosynthetic process (GO:0009124)	44	0	6.99	-	 < 0.01	3.14E-03	4.61E-02
maturation of SSU-rRNA (GO:0030490)	50	0	7.94	-	 < 0.01	1.35E-03	2.38E-02
tRNA methylation (GO:0030488)	43	0	6.83	-	 < 0.01	3.02E-03	4.48E-02
regulation of telomere maintenance via telomere lengthening (GO:1904356)	62	0	9.85	-	 < 0.01	2.52E-04	5.62E-03
snRNA metabolic process (GO:0016073)	47	0	7.47	-	 < 0.01	2.06E-03	3.34E-02
translesion synthesis (GO:0019985)	42	0	6.67	-	 < 0.01	3.01E-03	4.47E-02
establishment of protein localization to mitochondrion (GO:0072655)	77	0	12.23	-	 < 0.01	1.77E-05	5.40E-04
